case_id,cuisine_type,restaurant_size,change_type,ground_truth_decision,system_decision
C-001,Italian,small,price,approve,approve
C-002,Italian,small,description,approve,reject
C-003,Italian,small,allergen,reject,reject
C-004,Italian,medium,price,approve,approve
C-005,Italian,medium,description,approve,approve
C-006,Italian,medium,allergen,reject,reject
C-007,Italian,large,price,approve,approve
C-008,Italian,large,description,reject,reject
C-009,Italian,large,allergen,approve,approve
C-010,American,small,price,approve,approve
C-011,American,small,description,approve,approve
C-012,American,small,allergen,reject,reject
C-013,American,medium,price,approve,approve
C-014,American,medium,description,reject,reject
C-015,American,medium,allergen,approve,approve
C-016,American,large,price,approve,approve
C-017,American,large,description,approve,approve
C-018,American,large,allergen,reject,reject
C-019,Mexican,small,price,approve,reject
C-020,Mexican,small,description,approve,approve
C-021,Mexican,small,allergen,reject,reject
C-022,Mexican,medium,price,approve,approve
C-023,Mexican,medium,description,reject,reject
C-024,Mexican,medium,allergen,approve,approve
C-025,Mexican,large,price,approve,approve
C-026,Mexican,large,description,approve,approve
C-027,Mexican,large,allergen,reject,reject
C-028,Indian,small,price,approve,reject
C-029,Indian,small,description,approve,reject
C-030,Indian,small,allergen,reject,reject
C-031,Indian,medium,price,approve,approve
C-032,Indian,medium,description,approve,reject
C-033,Indian,medium,allergen,reject,reject
C-034,Indian,large,price,approve,approve
C-035,Indian,large,description,approve,approve
C-036,Indian,large,allergen,reject,reject
C-037,Thai,small,price,approve,reject
C-038,Thai,small,description,approve,reject
C-039,Thai,small,allergen,reject,reject
C-040,Thai,medium,price,approve,reject
C-041,Thai,medium,description,approve,approve
C-042,Thai,medium,allergen,approve,reject
C-043,Thai,large,price,approve,approve
C-044,Thai,large,description,approve,reject
C-045,Thai,large,allergen,reject,reject
