change_id,restaurant_name,item_name,change_type,old_value,new_value,reference_data,llm_decision,llm_confidence,llm_reasoning,human_decision,human_agrees_with_llm
CHG-001,Myeongdong Kyoja,Tacos,price,$9.23,$12.38,,reject,0.73,34% above last verified price. Exceeds policy threshold.,reject,TRUE
CHG-002,Doyum Grillhaus,Sushi Set,price,$16.24,$21.09,,reject,0.89,30% above last verified price. Exceeds policy threshold.,reject,TRUE
CHG-003,Al Baik,Currywurst,price,$3.91,$4.27,Last verified price: $4.00. Markup: 6.7%,reject,0.54,Price increased 7% above last verified price. Above maximum allowed price threshold. Rejected.,approve,FALSE
CHG-004,Anadolu Restaurant,Falafel Teller,price,$7.59,$9.18,,reject,0.54,Price increased 21% above last verified price. Exceeds acceptable price variance per policy. Rejected.,approve,FALSE
CHG-005,Tangs Living,Classic Burger,price,$9.92,$10.98,Last verified price: $9.90. Markup: 10.9%,approve,0.80,11% above last verified price. Within policy bounds.,approve,TRUE
CHG-006,Operation Falafel,Doner Kebab,price,$7.64,$7.93,,approve,0.81,4% above last verified price. Within policy bounds.,approve,TRUE
CHG-007,Five Guys,Pho,price,$11.93,$17.87,Last verified price: $11.50. Markup: 55.4%,reject,0.71,55% above last verified price. Exceeds policy threshold.,reject,TRUE
CHG-008,Gwangjang Market,Butter Chicken,price,$11.88,$18.16,Last verified price: $12.50. Markup: 45.3%,reject,0.76,45% above last verified price. Exceeds policy threshold.,reject,TRUE
CHG-009,Bebek Balikci,Wiener Schnitzel,price,$15.28,$22.62,Last verified price: $14.90. Markup: 51.8%,reject,0.68,52% above last verified price. Exceeds policy threshold.,reject,TRUE
CHG-010,Myeongdong Kyoja,Pho,price,$11.08,$16.28,Last verified price: $11.50. Markup: 41.5%,reject,0.83,42% above last verified price. Exceeds policy threshold.,reject,TRUE
CHG-011,Pizza Dach,Wiener Schnitzel,price,$14.23,$16.90,Last verified price: $14.90. Markup: 13.4%,approve,0.82,13% above last verified price. Within policy bounds.,approve,TRUE
CHG-012,Al Mallah,Shawarma Plate,price,$12.05,$18.72,Last verified price: $12.00. Markup: 56.0%,reject,0.79,56% above last verified price. Exceeds policy threshold.,reject,TRUE
CHG-013,Pizza Dach,Naan,description,Homemade hummus with pita,Authentic Lebanese hummus with warm pita bread and olive oil drizzle,,flag_for_review,0.57,Description changed from 'Homemade hummus with pita' to 'Authentic Lebanese hummus with warm pita bread and za'atar'. Contains origin claim ('Lebanese') — flagging for verification.,approve,FALSE
CHG-014,Curry 36,Pommes Frites,description,Crispy fries with sea salt,Hand-cut triple-cooked Belgian frites with high-altitude Himalayan pink salt and black truffle oil,,approve,0.44,Description updated from 'Crispy fries with sea salt' to include preparation method and premium ingredients. Standard menu enhancement. No misleading claims detected. Approved.,reject,FALSE
CHG-015,Meshur Kofte,Hummus,description,Pasta carbonara,Authentic Roman carbonara with guanciale and Pecorino Romano DOP,,approve,0.76,Description enhancement. No misleading claims detected.,approve,TRUE
