item_id,section,item_name,description,sector,risk_tier,course_coverage,coverage_status,notes
P-01,classification,Resume screening bot,Ranks job applicants by match score and recommends top candidates to hiring managers,Employment,,,,Automated decision-making in employment context
P-02,classification,Customer support chatbot,Answers FAQs about shipping times and return policies for an e-commerce site,Consumer,,,,User-facing conversational AI
P-03,classification,Credit scoring model,Assesses loan default probability and recommends approve/deny decisions to loan officers,Finance,,,,Automated decision support in creditworthiness assessment
P-04,classification,Social media content recommender,Suggests posts and videos to users based on engagement patterns,Consumer,,,,Algorithmic content curation
P-05,classification,Emergency triage assistant,Prioritizes emergency room patients by severity based on reported symptoms,Healthcare,,,,Safety-critical healthcare decision support
P-06,classification,Menu verification system,Checks allergen disclosures on restaurant menus before they go live on a food delivery platform,Food safety / Consumer,,,,The system you have been evaluating all course. Incorrect approvals could lead to allergic reactions.
P-07,classification,Subliminal ad optimizer,Uses subconscious visual triggers in ad placement to influence purchasing behavior without user awareness,Advertising,,,,Designed to manipulate behavior below conscious awareness
P-08,classification,Internal code review assistant,Suggests code improvements and flags potential bugs for developers within a company,Internal tools,,,,Internal productivity tool with no external user impact
R-01,audit,Risk management system,"Documented process for identifying and mitigating AI risks throughout the system lifecycle. Must be continuously updated.",,,,,"D2 evaluation surface map identifies risks. D10 release criteria sets thresholds. D19 ship memo documents decisions. But: is this a single maintained document or scattered across lessons?"
R-02,audit,Training and evaluation data governance,"Data used for training and evaluation must be relevant, representative, and free from errors. Selection criteria and bias assessment must be documented.",,,,,"D7 golden datasets covers curation and contamination. D12 fairness covers subgroup representativeness. Gap: no formal data sheet or data governance document exists."
R-03,audit,Technical documentation,"Complete documentation of system design, eval methodology, metrics, thresholds, and test results — before deployment.",,,,,"D10 thresholds documented. D16 experiment design documented. D18 red-team results documented. D19 ship memo synthesizes. Gap: no single versioned artifact linking methodology → dataset → results → thresholds."
R-04,audit,Automatic logging and traceability,"System must automatically record events (inputs, outputs, decisions) sufficient for post-hoc audit and incident investigation.",,,,,"D14 observability covers metrics, logs, traces, human feedback. Gap: is logging actually implemented with sufficient retention period and audit access controls?"
R-05,audit,Human oversight mechanisms,"Effective mechanisms for human control, including ability to override, intervene, or shut down the system.",,,,,"D5 human graders in the eval loop. D17 rollback criteria and on-call ownership. D17 online eval includes human-review layer. Gap: is override capability documented and tested? Is the escalation chain formalized?"
R-06,audit,Accuracy and robustness testing,"System must be tested for accuracy under normal conditions and robustness under adversarial conditions, with documented results.",,,,,"D4 distributions and CIs. D16 paired experiments. D18 red teaming. Strong coverage of the practice. Gap: results must be in a formal test report format, not just conversation-level analysis."
R-07,audit,Post-deployment monitoring plan,"Continuous monitoring of system performance against documented benchmarks. Must detect degradation and trigger corrective action.",,,,,"D17 production monitoring covers drift detection, rollback triggers, online eval layering. Gap: monitoring plan must be a standalone document linked to the conformity assessment, not just a tutor exercise."
R-08,audit,Incident reporting,"Serious incidents (death, health damage, rights violations, infrastructure disruption) must be reported to market surveillance authorities within defined timelines.",,,,,"No course coverage. D17 covers rollback for product quality purposes but not regulatory notification. Gap: no incident classification scheme mapping system failures to reportable-incident categories. No regulatory notification workflow."
R-09,audit,Transparency and user information,"Users and affected persons must be informed that an AI system is making or supporting decisions. Clear information about system capabilities and limitations.",,,,,"Not directly covered in D1–D19. The course focuses on internal eval practices, not user-facing transparency. Gap: no transparency notice, no user-facing documentation of system limitations."
R-10,audit,Conformity declaration and CE marking,"Provider must issue a formal EU Declaration of Conformity, affix CE marking, and register the system in the EU database before market placement.",,,,,"D19 ship memo is the closest practice — a structured decision document. Gap: ship memo is an internal artifact. Conformity declaration is a legal filing with specific format requirements. Legal must draft; PM provides the eval evidence."
