run_id,task_type,outcome_correct,trajectory_quality,num_steps,expected_steps,wrong_tool_calls,tool_failure_count,recovered_from_failures,cost_tokens
R-01,new_menu_upload,yes,efficient,4,5,0,0,0,2400
R-02,photo_verification,yes,efficient,2,2,0,0,0,1200
R-03,description_update,yes,efficient,2,2,0,0,0,1100
R-04,new_menu_upload,yes,efficient,5,5,0,0,0,2700
R-05,allergen_dispute,yes,efficient,4,4,0,0,0,2200
R-06,photo_verification,yes,efficient,3,3,0,0,0,1700
R-07,new_menu_upload,yes,efficient,4,5,0,0,0,2300
R-08,description_update,yes,efficient,2,3,0,0,0,1300
R-09,allergen_dispute,yes,efficient,3,4,0,0,0,1900
R-10,photo_verification,yes,efficient,2,3,0,0,0,1300
R-11,new_menu_upload,yes,recovered_from_error,6,5,0,2,2,3400
R-12,allergen_dispute,yes,recovered_from_error,5,4,0,1,1,2900
R-13,photo_verification,yes,recovered_from_error,4,3,0,2,2,2400
R-14,new_menu_upload,yes,recovered_from_error,7,6,1,2,2,3900
R-15,new_menu_upload,yes,inefficient,11,5,2,0,0,5800
R-16,allergen_dispute,yes,inefficient,9,4,3,0,0,4500
R-17,photo_verification,yes,inefficient,7,3,2,0,0,3600
R-18,description_update,yes,cascade_failure,8,3,3,2,0,4100
R-19,new_menu_upload,yes,hallucinated_tool_call,6,5,1,0,0,3200
R-20,allergen_dispute,yes,hallucinated_tool_call,5,4,2,0,0,2700
R-21,allergen_dispute,no,recovered_from_error,6,4,0,2,2,3100
R-22,photo_verification,no,inefficient,9,3,3,0,0,4600
R-23,description_update,no,inefficient,6,3,3,0,0,3200
R-24,new_menu_upload,no,cascade_failure,12,6,4,3,0,6200
R-25,photo_verification,no,cascade_failure,10,3,3,3,0,5100
